,Nick,League Points,Daily Games,Games
0,Eunucão,605,0,43
1,BES ego illusion,666,0,54
2,Koala Esbelto,530,0,46
3,BEE Anklam,456,0,42
4,BES Narkesh,445,0,42
5,EMS NiihiI,400,0,53
6,AI CE TOMA,400,0,31
7,LeS Jhin,374,0,50
8,FOUR Serask,368,0,62
9,DragonzKilla,366,0,54
10,BES Patr0ci,329,0,47
11,Erith,317,0,33
12,Perso TFT,307,0,38
13,PedroBanana,261,0,47
14,KDA Math108,236,0,27
15,rayazao,233,0,32
16,Guiczar,229,0,37
17,BES Midor1ya,216,0,50
18,BEE itachi,206,0,22
19,LeS Neuro,202,0,40
20,TKZ eSchool,181,0,70
21,Y U N l E,68,0,29
22,EMS Leon,35,0,52
