,Nick,League Points,Total Games,Daily League Points,Daily Games
12,BES ego illusion,666,54,0,0
0,Eunucão,605,43,0,0
21,Koala Esbelto,530,46,0,0
20,BEE Anklam,456,42,0,0
19,BES Narkesh,445,42,0,0
17,EMS NiihiI,400,53,0,0
18,AI CE TOMA,400,31,0,0
16,LeS Jhin,374,50,0,0
15,FOUR Serask,368,62,0,0
14,BES Patr0ci,329,47,0,0
13,DragonzKilla,319,53,0,0
11,Erith,317,33,0,0
1,Perso TFT,307,38,0,0
10,PedroBanana,261,47,0,0
9,Math108,236,27,0,0
8,rayazao,233,32,0,0
7,Guiczar,229,37,0,0
6,BES Midor1ya,216,50,0,0
5,BEE itachi,206,22,0,0
4,LeS Neuro,202,40,0,0
3,TKZ eSchool,181,70,0,0
2,Y U N l E,68,29,0,0
22,EMS Leon,35,52,0,0
