Nicks,Points_1,Points_2,Points_3,Total Points
Detetive AIine,0,715,540,1255
BES ego illusion,500,110,600,1210
eusouolucas,650,385,120,1155
vclf,550,55,360,965
BES Toddy,0,55,780,835
FOUR Dairon,0,55,660,715
Sh0W,0,605,0,605
TFx D KLEIN,0,550,0,550
Faret,0,495,0,495
Slooper,450,0,0,450
BEE Barry,0,110,300,410
EMS Zanaron,350,55,0,405
KDA Nefalla,0,330,0,330
TFT Andreeker,300,0,0,300
TFx Creitu,100,55,120,275
LeS Allanzim,0,275,0,275
BES DobZ,200,55,0,255
TFx Rasta,250,0,0,250
d00pE,100,0,120,220
inc mplete,0,220,0,220
BEE itachi,0,55,120,175
JosneyQT,0,110,60,170
directorayres,50,110,0,160
AI CE TOMA,50,110,0,160
xandeeea,0,55,60,115
EMS NiihiI,50,0,60,110
Caju vc prometeu,0,110,0,110
BES Patr0ci,0,110,0,110
BES vipi,0,110,0,110
Mathze,100,0,0,100
proenca z1k4,100,0,0,100
CoolGuy0,100,0,0,100
DarkMagician,100,0,0,100
LeS Jhin,100,0,0,100
Rblacks,100,0,0,100
LeS Neuro,0,55,0,55
gabsreal,0,55,0,55
LeS livinda,0,55,0,55
INTZ Ian,0,55,0,55
gune1,0,55,0,55
MENTE ÏNSANA,0,55,0,55
Lord Rollo,0,55,0,55
Vulpi,0,55,0,55
Wuuju,50,0,0,50
Serask,50,0,0,50
zViic,50,0,0,50
Sora,50,0,0,50
BEE Soft,50,0,0,50
EMS Leon,50,0,0,50
Pequeno Golfo,50,0,0,50
LeviGV,50,0,0,50
gabymar10,50,0,0,50
Tjjuninho,50,0,0,50
MAIN ZeCksS,50,0,0,50
Guiczar,50,0,0,50
Loredonix,50,0,0,50
