,Nick,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Sum of snapshot points
1,BES ego illusion,90,77,109,120,146,542
2,zzhcet,25,66,85,133,117,426
3,Slooper,35,88,121,93,51,388
4,Orono Noguchi,70,55,97,80,80,382
5,BES Toddy,25,39,66,106,102,338
6, vclf,35,99,73,47,51,305
7,Shirazu,80,39,43,0,132,294
8,KDA Kaos,100,50,43,47,51,291
9,EMS NiihiI,35,110,43,47,51,286
10,KDA Math108,45,39,43,66,88,281
11,DETETIVE ALINE,35,39,54,73,73,274
12,BES DobZ,35,39,60,47,66,247
13,d00pE,55,60,43,34,51,243
14,BES Midor1ya,60,39,43,47,51,240
15,Eunucão,50,39,43,47,51,230
16,Sh1razu,35,39,43,47,51,215
17,inc mplete,25,28,43,60,51,207
18,Miguel Arkjow,35,39,43,34,51,202
19,Koala Esbelto,25,39,31,47,51,193
20,FOUR Dianbizir,35,28,43,47,37,190
21,BEE itachi,15,28,43,47,51,184
22,LeS Jhin,25,28,43,47,37,180
23,Durkzera,25,39,31,47,37,179
24,Ciulla,25,39,43,34,37,178
25,BEE Anklam,35,39,31,34,37,176
26,LeS Neuro,25,17,43,47,37,169
27,TFx Creitu,35,39,31,34,22,161
28,Mallenda,15,17,31,47,51,161
29,PepeChill,35,39,43,34,9,160
30,BES Patr0ci,25,17,31,47,37,157
31,FOUR Dairon,25,28,31,34,37,155
32,BES vipi,25,28,31,34,37,155
33,FOUR BieuL,25,28,31,34,37,155
34,Haxwei,25,0,31,47,51,154
35,Gune,35,39,19,34,22,149
36,Tsuuzaki,15,28,31,20,51,145
37,gabsreal,15,28,31,34,37,145
38,JosneyQT,15,28,31,34,37,145
39,BEE Soft,25,17,31,34,37,144
40,PedroBanana,25,28,19,34,37,143
41,Endeev,25,28,31,34,22,140
42,LEVl,35,28,31,34,9,137
43,KDA wenked,15,28,19,34,37,133
44,KDA Sukesvs,15,28,19,34,37,133
45,DobZ,0,0,31,47,51,129
46,eusouolucas,35,39,43,0,9,126
47,HR felipeeanjos,35,28,19,20,22,124
48,Guiczar,15,17,19,34,37,122
49,quavolino,15,28,19,34,22,118
50,Kleike,15,28,31,20,22,116
51,Make Them Suffer,15,28,0,34,37,114
52,Krowck,35,17,19,20,22,113
53,Phelpz13,15,6,31,34,22,108
54,zViic,25,28,19,8,22,102
55,Erith,15,17,19,0,51,102
56,rayazao,0,6,19,34,37,96
57,RD Bhaltamos,15,6,31,20,22,94
58,BD Wed,15,17,19,20,22,93
59,KDA Constantine,25,17,19,20,9,90
60,RafaStark,0,28,19,20,22,89
61,KDA msK,0,0,31,20,37,88
62,Tjjuninho,25,17,0,8,37,87
63,Irmão Koda,25,0,19,20,22,86
64,TFx Sepeda,15,6,19,20,22,82
65,Eddie Jr,25,28,19,0,9,81
66,Dont row down,0,17,7,20,37,81
67,Kenji1 TFT,15,17,19,8,22,81
68,MittCrowen,0,6,19,34,22,81
69,Flangonator,35,17,19,0,9,80
70,TFx Goiabeira,15,17,19,20,9,80
71,AI CE TOMA,0,6,31,20,22,79
72,BES Narkesh,5,0,31,20,22,78
73,Sh0W,25,0,31,0,22,78
74,KDA Pikáchú,25,28,0,0,22,75
75,Perso TFT,0,6,7,20,37,70
76,find cost five,5,17,19,20,9,70
77,Zehluk TFT,5,17,19,20,9,70
78,TFT Mike,0,6,7,34,22,69
79,Rafael Araújo,15,17,0,0,37,69
80,musica p drift,15,17,19,8,9,68
81,Aragatheus,15,17,7,20,9,68
82,directorayres,0,17,7,20,22,66
83,Dan Smith,0,17,19,20,9,65
84,Suwuplente,0,17,19,20,9,65
85,Ieko,15,0,7,20,22,64
86,Tamizo,15,0,7,20,22,64
87,Nefalla TFT,5,17,31,0,9,62
88,KDA Nefalla,25,28,0,0,9,62
89,BEE Barry,15,6,19,0,22,62
90,TFx D klein,0,0,19,20,22,61
91,LeS Allanzim,5,6,19,8,22,60
92,Gabymar10,5,17,7,20,9,58
93,BEE Roça,0,0,19,0,37,56
94,Steps Days,0,6,19,8,22,55
95,XadrezdePobre,5,0,19,20,9,53
96,Carinha de Raiva,0,17,7,20,9,53
97,Renato o Delgado,0,17,19,8,9,53
98,NessHS,0,17,7,20,9,53
99,ALEEjadinho,15,28,0,0,9,52
100,Rendras,5,17,19,0,9,50
101,Soníc,5,17,19,0,9,50
102,Drugsky0811,0,0,19,8,22,49
103,LeS Loredonix,0,0,7,20,22,49
104,f1 ouvindo blues,0,0,7,20,22,49
105,ChavaChavaChava,0,0,7,20,22,49
106,Freez,15,17,7,0,9,48
107,Senta Pro Espeto,0,0,19,20,9,48
108,� 0 GR�MIO,0,0,19,20,9,48
109,Jessica Pandora,0,0,19,20,9,48
110,Lyawr,0,17,0,8,22,47
111,Gzaga,0,6,19,0,22,47
112,dedinho do lula,5,0,0,20,22,47
113,BEE LucLuc,5,0,0,20,22,47
114,KaveGod,0,17,19,0,9,45
115,Melkor Nightmare,0,17,19,0,9,45
116,KDA Bizola,0,6,7,20,9,42
117,BlackenedLlys,0,0,0,20,22,42
118,Liow,0,0,0,20,22,42
119,KDA AtHoM44,0,0,0,20,22,42
120,xXChaosunXx,0,0,19,0,22,41
121,Carneiro Gamer,5,17,7,0,9,38
122,Irelia do Arthur,0,0,7,8,22,37
123,blanka21,5,0,0,20,9,34
124,Shh0W,15,0,19,0,0,34
125,Cash,0,6,7,20,0,33
126,Son Hye Jo0,15,17,0,0,0,32
127,MJN Suasion,0,0,0,8,22,30
128,o brasil qr mais,0,0,0,8,22,30
129,DOG Ryok,0,0,0,8,22,30
130,BORGAOO,0,0,0,20,9,29
131,Faret,0,0,7,0,22,29
132,TiySatomie,15,6,7,0,0,28
133,Thayná TFT,0,6,0,0,22,28
134,Hussardo Alado,0,6,0,0,22,28
135,Alkmena,0,0,19,0,9,28
136,gainetera,5,0,0,0,22,27
137,Guzz�o,0,0,7,20,0,27
138,RAITHOSO,0,0,7,20,0,27
139,Pàla,5,0,0,0,22,27
140,SrRipper,0,0,7,20,0,27
141,Graves Foragido,0,0,19,8,0,27
142,LeS Thayná,5,0,0,0,22,27
143,garridoo,0,6,0,20,0,26
144,zaai,0,17,0,0,9,26
145,paivá,0,6,19,0,0,25
146,Cool Guy0,25,0,0,0,0,25
147,Yvissaur,0,17,7,0,0,24
148,Bom em nada Igor,0,17,7,0,0,24
149,A C O R D A R,15,0,0,0,9,24
150,ILM Eng1Near,0,0,7,8,9,24
151,Pri Kitta,0,17,7,0,0,24
152,KrashS,0,0,7,8,9,24
153,Vulpi,0,6,0,8,9,23
154,hopperion,15,0,7,0,0,22
155,Arckie,5,17,0,0,0,22
156,MegaJonga,5,17,0,0,0,22
157,NFU Pazzini,15,0,7,0,0,22
158,l Akeshi l,15,6,0,0,0,21
159,Anlonio,15,6,0,0,0,21
160,JPLME10,0,6,7,8,0,21
161,Hayuke,0,6,7,8,0,21
162,DragonzKilla,0,0,0,20,0,20
163,TFThiag0,0,0,0,20,0,20
164,Chawa,5,6,0,0,9,20
165,Andreeker,0,0,19,0,0,19
166,bujsnuflr,0,0,19,0,0,19
167,RaafaaelG,0,0,19,0,0,19
168,DeBitous,5,6,7,0,0,18
169,Puke and Cry,5,6,7,0,0,18
170,EMS Leon,0,0,0,8,9,17
171,Borriss,0,17,0,0,0,17
172,xiao dian dian k,0,17,0,0,0,17
173,xFlashy Flash,0,17,0,0,0,17
174,ThiaGoku,0,17,0,0,0,17
175,Shinkki,0,17,0,0,0,17
176,Shinja,0,17,0,0,0,17
177,nojiris,0,17,0,0,0,17
178,me vê 4 pães,0,17,0,0,0,17
179,Alex NinjaBr,0,0,0,8,9,17
180,Leo3l,0,17,0,0,0,17
181,EMS glass1,0,0,0,8,9,17
182,Adolfo333,0,0,0,8,9,17
183,anuib,0,0,0,8,9,17
184,TFx Ufal,0,0,0,8,9,17
185,AtHoM44,0,0,7,0,9,16
186,Espada De Miguel,0,0,7,0,9,16
187,Viciado em Caf�,15,0,0,0,0,15
188,LeuzZoka,15,0,0,0,0,15
189,IuIiz,15,0,0,0,0,15
190,Joell,15,0,0,0,0,15
191,kamikzz,15,0,0,0,0,15
192,Summer578,15,0,0,0,0,15
193,NiNooce,15,0,0,0,0,15
194,VlOLE,15,0,0,0,0,15
195,proenca z1k4,15,0,0,0,0,15
