,Nick,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Sum of snapshot points
1,BES ego illusion,90,77,109,120,146,542
2,zzhcet,25,66,85,133,132,441
3,Orono Noguchi,70,55,97,80,88,390
4,Slooper,35,88,121,93,51,388
5,BES Toddy,25,39,66,106,117,353
6,vclf,35,99,73,47,51,305
7,KDA Math108,45,39,43,66,102,295
8,KDA Kaos,100,50,43,47,51,291
9,EMS NiihiI,35,110,43,47,51,286
10,DETETIVE ALINE,35,39,54,73,80,281
11,BES DobZ,35,39,60,47,73,254
12,d00pE,55,60,43,34,51,243
13,BES Midor1ya,60,39,43,47,51,240
14,Eunucão,50,39,43,47,51,230
15,Sh1razu,35,39,43,47,51,215
16,inc mplete,25,28,43,60,51,207
17,Miguel Arkjow,35,39,43,34,51,202
18,PepeChill,35,39,43,34,51,202
19,Koala Esbelto,25,39,31,47,51,193
20,FOUR Dianbizir,35,28,43,47,37,190
21,BEE itachi,15,28,43,47,51,184
22,LeS Jhin,25,28,43,47,37,180
23,FOUR Levi,35,28,31,34,51,179
24,Ciulla,25,39,43,34,37,178
25,BEE Anklam,35,39,31,34,37,176
26,LeS Neuro,25,17,43,47,37,169
27,Shirazu,80,39,43,0,0,162
28,TFx Creitu,35,39,31,34,22,161
29,BES Patr0ci,25,17,31,47,37,157
30,BES vipi,25,28,31,34,37,155
31,FOUR BieuL,25,28,31,34,37,155
32,FOUR Dairon,25,28,31,34,37,155
33,Gune,35,39,19,34,22,149
34,KDA Sukesvs,15,28,19,34,51,147
35,gabsreal,15,28,31,34,37,145
36,JosneyQT,15,28,31,34,37,145
37,Tsuuzaki,15,28,31,20,51,145
38,BEE Soft,25,17,31,34,37,144
39,DobZ,0,0,31,47,66,144
40,PedroBanana,25,28,19,34,37,143
41,Durkzera,25,39,31,47,0,142
42,KDA wenked,15,28,19,34,37,133
43,Kleike,15,28,31,20,37,131
44,Krowck,35,17,19,20,37,128
45,HR felipeeanjos,35,28,19,20,22,124
46,Phelpz13,15,6,31,34,37,123
47,Endeev,25,28,31,34,0,118
48,eusouolucas,35,39,43,0,0,117
49,Mallenda,15,17,31,47,0,110
50,Haxwei,25,0,31,47,0,103
51,KDA Constantine,25,17,19,20,22,103
52,zViic,25,28,19,8,22,102
53,Erith,15,17,19,0,51,102
54,quavolino,15,28,19,34,0,96
55,MittCrowen,0,6,19,34,37,96
56,RD Bhaltamos,15,6,31,20,22,94
57,BD Wed,15,17,19,20,22,93
58,KDA msK,0,0,31,20,37,88
59,Tjjuninho,25,17,0,8,37,87
60,Guiczar,15,17,19,34,0,85
61,find cost five,5,17,19,20,22,83
62,AI CE TOMA,0,6,31,20,22,79
63,BES Narkesh,5,0,31,20,22,78
64,Sh0W,25,0,31,0,22,78
65,Make Them Suffer,15,28,0,34,0,77
66,TFx D klein,0,0,19,20,37,76
67,Eddie Jr,25,28,19,0,0,72
68,Flangonator,35,17,19,0,0,71
69,TFx Goiabeira,15,17,19,20,0,71
70,Perso TFT,0,6,7,20,37,70
71,TFT Mike,0,6,7,34,22,69
72,Rafael Araújo,15,17,0,0,37,69
73,RafaStark,0,28,19,20,0,67
74,MJN director,0,17,7,20,22,66
75,Irmão Koda,25,0,19,20,0,64
76,Ieko,15,0,7,20,22,64
77,BEE Barry,15,6,19,0,22,62
78,Zehluk TFT,5,17,19,20,0,61
79,Freez,15,17,7,0,22,61
80,TFx Sepeda,15,6,19,20,0,60
81,LeS Allanzim,5,6,19,8,22,60
82,Aragatheus,15,17,7,20,0,59
83,Kenji1 TFT,15,17,19,8,0,59
84,musica p drift,15,17,19,8,0,59
85,rayazao,0,6,19,34,0,59
86,Gabymar10,5,17,7,20,9,58
87,Dan Smith,0,17,19,20,0,56
88,Suwuplente,0,17,19,20,0,56
89,BEE Roça,0,0,19,0,37,56
90,KDA Nefalla,25,28,0,0,0,53
91,KDA Pikáchú,25,28,0,0,0,53
92,Nefalla TFT,5,17,31,0,0,53
93,XadrezdePobre,5,0,19,20,9,53
94,Carneiro Gamer,5,17,7,0,22,51
95,Drugsky0811,0,0,19,8,22,49
96,f1 ouvindo blues,0,0,7,20,22,49
97,LeS Loredonix,0,0,7,20,22,49
98,BEE LucLuc,5,0,0,20,22,47
99,Lyawr,0,17,0,8,22,47
100,Dont row down,0,17,7,20,0,44
101,NessHS,0,17,7,20,0,44
102,Renato o Delgado,0,17,19,8,0,44
103,Carinha de Raiva,0,17,7,20,0,44
104,ALEEjadinho,15,28,0,0,0,43
105,Hayuke,0,6,7,8,22,43
106,Tamizo,15,0,7,20,0,42
107,KDA AtHoM44,0,0,0,20,22,42
108,Liow,0,0,0,20,22,42
109,Rendras,5,17,19,0,0,41
110,Soníc,5,17,19,0,0,41
111,É 0 GRÊMIO,0,0,19,20,0,39
112,Jessica Pandora,0,0,19,20,0,39
113,Senta Pro Espeto,0,0,19,20,0,39
114,zaai,0,17,0,0,22,39
115,KDA Asmodeus,0,0,0,0,37,37
116,KaveGod,0,17,19,0,0,36
117,Melkor Nightmare,0,17,19,0,0,36
118,RAITHOSO,0,0,7,20,9,36
119,Vulpi,0,6,0,8,22,36
120,Shh0W,15,0,19,0,0,34
121,Cash,0,6,7,20,0,33
