1;BES ego illusion;90;77;109;120;396
2;Slooper;35;88;121;93;337
3;zzhcet;25;66;85;133;309
4;Orono Noguchi;70;55;97;80;302
5; vclf;35;99;73;47;254
6;KDA Kaos;100;50;43;47;240
7;BES Toddy;25;39;66;106;236
8;EMS NiihiI;35;110;43;47;235
9;DETETIVE ALINE;35;39;54;73;201
10;Math108;45;39;43;66;193
11;d00pE;55;60;43;34;192
12;BES Midor1ya;60;39;43;47;189
13;BES DobZ;35;39;60;47;181
14;Eunucão;50;39;43;47;179
15;Sh1razu;35;39;43;47;164
16;Shirazu;80;39;43;0;162
17;inc mplete;25;28;43;60;156
18;FOUR Dianbizir;35;28;43;47;153
19;Miguel Arkjow;35;39;43;34;151
20;PepeChill;35;39;43;34;151
21;LeS Jhin;25;28;43;47;143
22;Durkzera;25;39;31;47;142
23;Koala Esbelto;25;39;31;47;142
24;Ciulla;25;39;43;34;141
25;BEE Anklam;35;39;31;34;139
26;TFx Creitu;35;39;31;34;139
27;BEE itachi;15;28;43;47;133
28;LeS Neuro;25;17;43;47;132
29;LEVl;35;28;31;34;128
30;Gune;35;39;19;34;127
31;BES Patr0ci;25;17;31;47;120
32;BES vipi;25;28;31;34;118
33;Endeev;25;28;31;34;118
34;FOUR BieuL;25;28;31;34;118
35;FOUR Dairon;25;28;31;34;118
36;eusouolucas;35;39;43;0;117
37;Mallenda;15;17;31;47;110
38;gabsreal;15;28;31;34;108
39;JosneyQT;15;28;31;34;108
40;BEE Soft;25;17;31;34;107
41;PedroBanana;25;28;19;34;106
42;Haxwei;25;0;31;47;103
43;HR felipeeanjos;35;28;19;20;102
44;KDA Sukesvs;15;28;19;34;96
45;KDA wenked;15;28;19;34;96
46;quavolino;15;28;19;34;96
47;Kleike;15;28;31;20;94
48;Tsuuzaki;15;28;31;20;94
49;Krowck;35;17;19;20;91
50;Phelpz13;15;6;31;34;86
51;Guiczar;15;17;19;34;85
52;KDA Constantine;25;17;19;20;81
53;zViic;25;28;19;8;80
54;DobZ;0;0;31;47;78
55;Make Them Suffer;15;28;0;34;77
56;RD Bhaltamos;15;6;31;20;72
57;Eddie Jr;25;28;19;0;72
58;BD Wed;15;17;19;20;71
59;TFx Goiabeira;15;17;19;20;71
60;Flangonator;35;17;19;0;71
61;RafaStark;0;28;19;20;67
62;Irmão Koda;25;0;19;20;64
63;find cost five;5;17;19;20;61
64;Zehluk TFT;5;17;19;20;61
65;TFx Sepeda;15;6;19;20;60
66;MittCrowen;0;6;19;34;59
67;rayazao;0;6;19;34;59
68;Aragatheus;15;17;7;20;59
69;Kenji1 TFT;15;17;19;8;59
70;musica p drift;15;17;19;8;59
71;AI CE TOMA;0;6;31;20;57
72;BES Narkesh;5;0;31;20;56
73;Dan Smith;0;17;19;20;56
74;Suwuplente;0;17;19;20;56
75;Sh0W;25;0;31;0;56
76;KDA Nefalla;25;28;0;0;53
77;KDA Pikáchú;25;28;0;0;53
78;Nefalla TFT;5;17;31;0;53
79;KDA msK;0;0;31;20;51
80;Erith;15;17;19;0;51
81;Tjjuninho;25;17;0;8;50
82;Gabymar10;5;17;7;20;49
83;TFT Mike;0;6;7;34;47
84;Carinha de Raiva;0;17;7;20;44
85;directorayres;0;17;7;20;44
86;Dont row down;0;17;7;20;44
87;NessHS;0;17;7;20;44
88;XadrezdePobre;5;0;19;20;44
89;Renato o Delgado;0;17;19;8;44
90;ALEEjadinho;15;28;0;0;43
91;Ieko;15;0;7;20;42
92;Tamizo;15;0;7;20;42
93;Rendras;5;17;19;0;41
94;Soníc;5;17;19;0;41
95;BEE Barry;15;6;19;0;40
96;� 0 GR�MIO;0;0;19;20;39
97;Jessica Pandora;0;0;19;20;39
98;Senta Pro Espeto;0;0;19;20;39
99;TFx D klein;0;0;19;20;39
100;Freez;15;17;7;0;39
101;LeS Allanzim;5;6;19;8;38
102;KaveGod;0;17;19;0;36
103;Melkor Nightmare;0;17;19;0;36
104;Shh0W;15;0;19;0;34
105;Cash;0;6;7;20;33
106;KDA Bizola;0;6;7;20;33
107;Perso TFT;0;6;7;20;33
108;Steps Days;0;6;19;8;33
109;Rafael Araújo;15;17;0;0;32
110;Son Hye Jo0;15;17;0;0;32
111;Carneiro Gamer;5;17;7;0;29
112;TiySatomie;15;6;7;0;28
113;ChavaChavaChava;0;0;7;20;27
114;f1 ouvindo blues;0;0;7;20;27
115;Guzz�o;0;0;7;20;27
116;LeS Loredonix;0;0;7;20;27
117;RAITHOSO;0;0;7;20;27
118;SrRipper;0;0;7;20;27
119;Drugsky0811;0;0;19;8;27
120;Graves Foragido;0;0;19;8;27
121;garridoo;0;6;0;20;26
122;BEE LucLuc;5;0;0;20;25
123;blanka21;5;0;0;20;25
124;dedinho do lula;5;0;0;20;25
125;Lyawr;0;17;0;8;25
126;Cool Guy0;25;0;0;0;25
127;Gzaga;0;6;19;0;25
128;paivá;0;6;19;0;25
129;Bom em nada Igor;0;17;7;0;24
130;Pri Kitta;0;17;7;0;24
131;Yvissaur;0;17;7;0;24
132;Arckie;5;17;0;0;22
133;hopperion;15;0;7;0;22
134;MegaJonga;5;17;0;0;22
135;NFU Pazzini;15;0;7;0;22
136;Hayuke;0;6;7;8;21
137;JPLME10;0;6;7;8;21
138;Anlonio;15;6;0;0;21
139;l Akeshi l;15;6;0;0;21
140;BlackenedLlys;0;0;0;20;20
141;BORGAOO;0;0;0;20;20
142;DragonzKilla;0;0;0;20;20
143;KDA AtHoM44;0;0;0;20;20
144;Liow;0;0;0;20;20
145;TFThiag0;0;0;0;20;20
146;Alkmena;0;0;19;0;19
147;Andreeker;0;0;19;0;19
148;BEE Roça;0;0;19;0;19
149;bujsnuflr;0;0;19;0;19
150;RaafaaelG;0;0;19;0;19
151;xXChaosunXx;0;0;19;0;19
152;DeBitous;5;6;7;0;18
153;Puke and Cry;5;6;7;0;18
154;Borriss;0;17;0;0;17
155;Leo3l;0;17;0;0;17
156;me vê 4 pães;0;17;0;0;17
157;nojiris;0;17;0;0;17
158;Shinja;0;17;0;0;17
159;Shinkki;0;17;0;0;17
160;ThiaGoku;0;17;0;0;17
161;xFlashy Flash;0;17;0;0;17
162;xiao dian dian k;0;17;0;0;17
163;zaai;0;17;0;0;17
164;FOUR Jinnai;0;0;7;8;15
165;ILM Eng1Near;0;0;7;8;15
166;Irelia do Arthur;0;0;7;8;15
167;KrashS;0;0;7;8;15
168;LeS livinda;0;0;7;8;15
169;Mefsu;0;0;7;8;15
170;TMT D Baji;0;0;7;8;15
171;A C O R D A R;15;0;0;0;15
172;AmorSorrisoFlor;15;0;0;0;15
173;andre nf;15;0;0;0;15
174;DarkMagician;15;0;0;0;15
175;Davvi AC;15;0;0;0;15
176;Gott ll;15;0;0;0;15
177;Gran Jie;15;0;0;0;15
178;Isonomy;15;0;0;0;15
179;IuIiz;15;0;0;0;15
180;Joell;15;0;0;0;15
181;kamikzz;15;0;0;0;15
182;LeuzZoka;15;0;0;0;15
183;NiNooce;15;0;0;0;15
184;proenca z1k4;15;0;0;0;15
185;Summer578;15;0;0;0;15
186;Viciado em Caf�;15;0;0;0;15
187;VlOLE;15;0;0;0;15
188;ddu;0;6;0;8;14
189;Vulpi;0;6;0;8;14
190;Bargaz;5;0;0;8;13
191;4crazy;0;6;7;0;13
192;mestre nilo;5;0;7;0;12
193;xXSTORM BREAKER;5;0;7;0;12
194;Chawa;5;6;0;0;11
195;Invidious;5;6;0;0;11
196;SunTous;5;6;0;0;11
197;Adolfo333;0;0;0;8;8
198;Alex NinjaBr;0;0;0;8;8
199;anuib;0;0;0;8;8
200;Bo En My Time;0;0;0;8;8
201;BonzinhoNunkMais;0;0;0;8;8
202;Cauezoca;0;0;0;8;8
203;DOG Ryok;0;0;0;8;8
204;� o Cabeça;0;0;0;8;8
205;EMS glass1;0;0;0;8;8
206;EMS Leon;0;0;0;8;8
207;FOUR SaintOz;0;0;0;8;8
208;Frei Careca;0;0;0;8;8
209;InfamaO;0;0;0;8;8
210;jkhlf;0;0;0;8;8
211;KDA sir blackp;0;0;0;8;8
212;kishimaT;0;0;0;8;8
213;MJN Suasion;0;0;0;8;8
214;NFU Malvadao;0;0;0;8;8
215;NFU LucasVz;0;0;0;8;8
216;NORVAK;0;0;0;8;8
217;o brasil qr mais;0;0;0;8;8
218;PLaaT;0;0;0;8;8
219;Schimit;0;0;0;8;8
220;server dif;0;0;0;8;8
221;sono profundo;0;0;0;8;8
222;TFx Ufal;0;0;0;8;8
223;Tio Thur;0;0;0;8;8
224;UmR4ndomQLQR;0;0;0;8;8
225;Absolun;0;0;7;0;7
226;AtHoM44;0;0;7;0;7
227;BEE Jammalz;0;0;7;0;7
228;Espada De Miguel;0;0;7;0;7
229;Faret;0;0;7;0;7
